Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Portsmouth,851,2019-20,South East,South East,Unitary,Good,43756,203,46,466,106,1661,193,12,0.24,5321,6580,25
Southampton,852,2019-20,South East,South East,Unitary,Requires improvement to be good,51275,396,77,486,95,2406,431,18,0.25,5062,12799,39
Leicestershire,855,2019-20,East Midlands,East Midlands,County,Requires improvement to be good,141860,504,36,654,46,3035,312,10,0.12,339,19204,20
Leicester,856,2019-20,East Midlands,East Midlands,Unitary,Requires improvement to be good,84082,316,38,611,73,1940,175,9,0.28,4830,42628,75
Rutland,857,2019-20,East Midlands,East Midlands,Unitary,Requires improvement to be good,7854,21,27,43,55,175,25,14,0.08,105,492,9
Staffordshire,860,2019-20,West Midlands,West Midlands,County,Good,170184,636,37,1217,72,5645,613,11,0.15,336,15848,13
Stoke-on-Trent,861,2019-20,West Midlands,West Midlands,Unitary,Inadequate,57912,493,85,919,159,3222,326,10,0.29,2743,13333,33
Wiltshire,865,2019-20,South West,South West,Unitary,Good,106064,366,35,458,43,2517,300,12,0.11,154,8884,13
Swindon,866,2019-20,South West,South West,Unitary,Good,50357,169,34,301,60,1457,167,12,0.17,966,10950,31
Bracknell Forest,867,2019-20,South East,South East,Unitary,Good,28384,122,43,142,50,879,115,13,0.11,1120,4289,24
Windsor and Maidenhead,868,2019-20,South East,South East,Unitary,Good,34728,131,38,116,33,883,136,15,0.08,771,8525,38
West Berkshire,869,2019-20,South East,South East,Unitary,Good,35595,106,30,157,44,930,118,13,0.1,225,4789,18
Reading,870,2019-20,South East,South East,Unitary,Requires improvement to be good,37009,224,61,280,76,1451,166,11,0.2,4005,13469,59
Slough,871,2019-20,South East,South East,Unitary,Requires improvement to be good,43112,301,70,196,45,1589,182,12,0.2,4595,27661,86
Wokingham,872,2019-20,South East,South East,Unitary,Requires improvement to be good,40417,142,35,98,24,1039,102,10,0.07,956,9378,35
Cambridgeshire,873,2019-20,East of England,East of England,County,Requires improvement to be good,136427,321,24,714,52,2724,324,12,0.13,215,21236,25
Peterborough,874,2019-20,East of England,East of England,Unitary,Good,51833,188,36,372,72,1569,184,12,0.25,589,19198,51
Halton,876,2019-20,North West,North West,Unitary,Requires improvement to be good,28770,153,53,278,97,1007,133,13,0.27,1636,1270,7
Warrington,877,2019-20,North West,North West,Unitary,Good,44391,139,31,364,82,1276,113,9,0.15,1163,4502,14
Devon,878,2019-20,South West,South West,County,Inadequate,146874,498,34,749,51,3127,696,22,0.14,122,7937,8
Plymouth,879,2019-20,South West,South West,Unitary,Requires improvement to be good,52898,310,59,434,82,1819,288,16,0.23,3282,4828,13
Torbay,880,2019-20,South West,South West,Unitary,Inadequate,25559,192,75,357,140,1288,222,17,0.24,2167,2072,10
Essex,881,2019-20,East of England,East of England,County,Outstanding,314163,589,19,1071,34,6186,830,13,0.17,431,39815,19
Southend-on-Sea,882,2019-20,East of England,East of England,Unitary,Requires improvement to be good,39738,160,40,314,79,1271,137,11,0.23,4394,8702,29
Thurrock,883,2019-20,East of England,East of England,Unitary,Good,44650,170,38,297,67,1733,193,11,0.22,1064,12017,41
Herefordshire,884,2019-20,West Midlands,West Midlands,Unitary,Requires improvement to be good,36048,108,30,351,97,1104,207,19,0.14,88,3044,13
Worcestershire,885,2019-20,West Midlands,West Midlands,County,Requires improvement to be good,118860,523,44,819,69,3263,467,14,0.16,342,11900,15
Kent,886,2019-20,South East,South East,County,Good,343839,1332,39,1807,53,10524,1627,16,0.18,446,52439,22
Medway,887,2019-20,South East,South East,Unitary,Inadequate,64979,463,71,426,66,2303,296,13,0.22,1438,13078,28
Lancashire,888,2019-20,North West,North West,County,Requires improvement to be good,251042,838,33,2096,83,8502,1301,15,0.18,422,36424,21
Blackburn with Darwen,889,2019-20,North West,North West,Unitary,Good,38742,220,57,411,106,1524,113,7,0.24,1092,15174,55
Blackpool,890,2019-20,North West,North West,Unitary,Inadequate,29215,363,124,652,223,2097,129,6,0.33,3999,2502,13
Nottinghamshire,891,2019-20,East Midlands,East Midlands,County,Good,167547,799,48,916,55,4610,291,6,0.18,397,18837,16
Nottingham,892,2019-20,East Midlands,East Midlands,Unitary,Requires improvement to be good,69071,609,88,656,95,3290,503,15,0.35,4462,26089,56
Shropshire,893,2019-20,West Midlands,West Midlands,Unitary,Good,60013,270,45,399,66,1574,250,16,0.13,101,3496,9
Telford and Wrekin,894,2019-20,West Midlands,West Midlands,Unitary,Outstanding,41120,239,58,403,98,1474,299,20,0.25,620,7133,24
Cheshire East,895,2019-20,North West,North West,Unitary,Requires improvement to be good,77290,253,33,534,69,2106,182,9,0.12,329,6837,13
Cheshire West and Chester,896,2019-20,North West,North West,Unitary,Good,68656,231,34,488,71,1831,145,8,0.17,373,5138,10
Cornwall,908,2019-20,South West,South West,Unitary,Outstanding,108515,414,38,473,44,3212,352,11,0.18,161,5824,8
Cumbria,909,2019-20,North West,North West,County,Requires improvement to be good,92527,620,67,721,78,2766,324,12,0.16,74,4129,6
Gloucestershire,916,2019-20,South West,South West,County,Inadequate,128910,717,56,731,57,4023,302,8,0.15,240,15196,17
Hertfordshire,919,2019-20,East of England,East of England,County,Good,272558,455,17,948,35,5037,1025,20,0.13,724,63235,32
Isle of Wight,921,2019-20,South East,South East,Unitary,Good,24738,126,51,264,107,1168,204,18,0.2,373,1301,8
Lincolnshire,925,2019-20,East Midlands,East Midlands,County,Outstanding,146412,354,24,622,42,3262,409,13,0.18,128,15656,15
Norfolk,926,2019-20,East of England,East of England,County,Requires improvement to be good,171656,646,38,1106,64,4764,885,19,0.18,169,17329,15
Northamptonshire,928,2019-20,East Midlands,East Midlands,County,Inadequate,171681,840,49,1163,68,5371,273,5,0.17,319,33948,29
Northumberland,929,2019-20,North East,North East,Unitary,Good,59050,471,80,434,73,2399,403,17,0.19,64,2569,6
Oxfordshire,931,2019-20,South East,South East,County,Good,146123,543,37,767,52,4750,551,12,0.12,266,24870,26
Somerset,933,2019-20,South West,South West,County,Requires improvement to be good,111190,278,25,529,48,2445,311,13,0.15,163,7791,11
Suffolk,935,2019-20,East of England,East of England,County,Outstanding,153591,458,30,936,61,3918,590,15,0.15,200,17211,17
Surrey,936,2019-20,South East,South East,County,Inadequate,263760,685,26,981,37,5751,1083,19,0.1,720,42193,27
Warwickshire,937,2019-20,West Midlands,West Midlands,County,Requires improvement to be good,117720,295,25,754,64,4073,784,19,0.14,293,17676,21
West Sussex,938,2019-20,South East,South East,County,Inadequate,176107,816,46,808,46,5536,226,4,0.13,434,22658,20
"Bournemouth, Christchurch and Poole",839,2019-20,South West,South West,Unitary,Not yet inspected,75568,226,30,526,70,2281,211,9,0,2439,10708,21
City of London,201,2018-19,London,Inner London,City of London Corporation,Outstanding,1453,0,0,20,138,70,0,0,0.1,3361,213,75
Camden,202,2018-19,London,Inner London,London borough,Good,50983,321,63,191,37,1717,428,25,0.27,12393,16909,77
Greenwich,203,2018-19,London,Outer London,London borough,Good,68917,225,33,479,70,2558,474,19,0.27,6086,30274,70
Hackney,204,2018-19,London,Inner London,London borough,Requires improvement to be good,63655,194,31,405,64,2904,416,14,0.32,14758,28819,83
Hammersmith and Fulham,205,2018-19,London,Inner London,London borough,Good,36898,142,39,245,66,1822,158,9,0.27,11287,14837,74
Islington,206,2018-19,London,Inner London,London borough,Outstanding,42098,186,44,313,74,2083,288,14,0.35,16321,17832,73
Kensington and Chelsea,207,2018-19,London,Inner London,London borough,Outstanding,28678,51,18,93,32,851,101,12,0.17,12876,10257,79
Lambeth,208,2018-19,London,Inner London,London borough,Requires improvement to be good,62629,254,41,352,56,2909,356,12,0.3,12156,31227,84
Lewisham,209,2018-19,London,Inner London,London borough,Requires improvement to be good,68458,234,34,487,71,2356,380,16,0.3,8702,29577,76
Southwark,210,2018-19,London,Inner London,London borough,Good,65121,328,50,459,70,2570,459,18,0.3,11045,33169,79
Tower Hamlets,211,2018-19,London,Inner London,London borough,Good,70973,282,40,329,46,3503,356,10,0.39,16427,41115,91
Wandsworth,212,2018-19,London,Inner London,London borough,Requires improvement to be good,63840,183,29,307,48,2172,165,8,0.21,9624,24523,73
Westminster,213,2018-19,London,Inner London,London borough,Outstanding,47445,61,13,209,44,1455,200,14,0.29,12167,19234,87
Barking and Dagenham,301,2018-19,London,Outer London,London borough,Requires improvement to be good,63401,307,48,417,66,2536,129,5,0.32,5898,33739,78
Barnet,302,2018-19,London,Outer London,London borough,Good,92701,168,18,312,34,1923,225,12,0.18,4563,40863,70
Bexley,303,2018-19,London,Outer London,London borough,Outstanding,56853,120,21,227,40,1594,292,18,0.19,4099,19261,45
Brent,304,2018-19,London,Outer London,London borough,Good,77893,298,38,299,38,2502,216,9,0.27,7628,42277,91
Bromley,305,2018-19,London,Outer London,London borough,Good,75055,244,33,348,46,2338,510,22,0.17,2214,20187,40
Croydon,306,2018-19,London,Outer London,London borough,Good,94702,695,73,819,86,4536,356,8,0.23,4471,41661,73
Ealing,307,2018-19,London,Outer London,London borough,Requires improvement to be good,81732,206,25,354,43,2673,216,8,0.23,6154,46116,86
Enfield,308,2018-19,London,Outer London,London borough,Good,84497,278,33,379,45,2689,547,20,0.31,4130,45851,81
Haringey,309,2018-19,London,Inner London,London borough,Requires improvement to be good,60398,187,31,429,71,2073,150,7,0.29,9076,30162,80
Harrow,310,2018-19,London,Outer London,London borough,Good,58373,280,48,169,29,1820,228,13,0.17,4977,33176,90
Havering,311,2018-19,London,Outer London,London borough,Good,57541,207,36,247,43,2362,233,10,0.2,2310,14580,38
Hillingdon,312,2018-19,London,Outer London,London borough,Good,73377,375,51,326,44,2535,247,10,0.21,2652,35702,69
Hounslow,313,2018-19,London,Outer London,London borough,Good,64898,245,38,278,43,1990,268,14,0.22,4851,35575,81
Kingston upon Thames,314,2018-19,London,Outer London,London borough,Outstanding,38977,129,33,129,33,907,62,7,0.12,4764,14214,55
Merton,315,2018-19,London,Outer London,London borough,Good,47266,184,39,157,33,1360,167,12,0.17,5490,19777,69
Newham,316,2018-19,London,Inner London,London borough,Inadequate,86567,280,32,378,44,3372,455,14,0.29,9756,59656,95
Redbridge,317,2018-19,London,Outer London,London borough,Outstanding,76159,250,33,236,31,2082,507,24,0.19,5411,49923,88
Richmond upon Thames,318,2018-19,London,Outer London,London borough,Good,45525,96,21,115,25,794,76,10,0.09,3450,11522,42
Sutton,319,2018-19,London,Outer London,London borough,Good,47941,187,39,237,49,1645,332,20,0.16,4706,20705,53
Waltham Forest,320,2018-19,London,Outer London,London borough,Good,67017,218,33,288,43,2216,96,4,0.27,7137,35102,82
Birmingham,330,2018-19,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,288388,1289,45,1946,67,8388,1056,13,0.31,4264,142128,70
Coventry,331,2018-19,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,78994,353,45,703,89,3284,333,10,0.25,3766,29180,52
Dudley,332,2018-19,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,69265,414,60,659,95,2699,304,11,0.22,3283,11959,25
Sandwell,333,2018-19,West Midlands,West Midlands,Metropolitan borough council,Inadequate,81920,582,71,890,109,3879,417,11,0.3,3839,33833,57
Solihull,334,2018-19,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,46946,203,43,424,90,1456,371,26,0.16,1214,10718,28
Walsall,335,2018-19,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,68157,389,57,614,90,3004,218,7,0.28,2746,21098,41
Wolverhampton,336,2018-19,West Midlands,West Midlands,Metropolitan borough council,Good,61244,328,54,625,102,2159,321,15,0.31,3793,25593,56
Knowsley,340,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,33477,209,62,301,90,1172,93,8,0.34,1744,1486,7
Liverpool,341,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,94902,554,58,1332,140,4213,295,7,0.33,4453,19339,27
St. Helens,342,2018-19,North West,North West,Metropolitan borough council,Inadequate,36785,219,60,466,127,1813,361,20,0.26,1324,1720,6
Sefton,343,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,53833,260,48,527,98,2203,276,13,0.21,1765,3571,9
Wirral,344,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,67576,425,63,831,123,2830,329,12,0.24,2013,4428,9
Bolton,350,2018-19,North West,North West,Metropolitan borough council,Good,67670,325,48,642,95,2358,117,5,0.23,2057,20341,40
Bury,351,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,43142,203,47,335,78,1503,246,16,0.18,1920,8118,28
Manchester,352,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,121962,787,65,1290,106,5279,410,8,0.34,4781,55564,64
Oldham,353,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,59416,468,79,512,86,2866,269,9,0.26,1666,20243,46
Rochdale,354,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,52689,381,72,568,108,2591,335,13,0.27,1407,14456,40
Salford,355,2018-19,North West,North West,Metropolitan borough council,Good,56566,489,86,583,103,2298,232,10,0.28,2663,10247,29
Stockport,356,2018-19,North West,North West,Metropolitan borough council,Good,63141,246,39,361,57,2021,283,14,0.16,2328,7827,19
Tameside,357,2018-19,North West,North West,Metropolitan borough council,Requires improvement to be good,50223,355,71,664,132,2438,119,5,0.25,2196,8421,23
Trafford,358,2018-19,North West,North West,Metropolitan borough council,Inadequate,56087,193,34,417,74,1634,122,8,0.14,2238,14318,35
Wigan,359,2018-19,North West,North West,Metropolitan borough council,Good,68388,225,33,448,66,2041,334,16,0.2,1747,4343,9
Barnsley,370,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,50727,246,49,301,59,1448,236,16,0.25,750,3017,9
Doncaster,371,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,66448,300,45,533,80,2714,223,8,0.25,549,7620,16
Rotherham,372,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,57196,507,89,642,112,2749,178,7,0.24,926,8202,18
Sheffield,373,2018-19,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,117497,565,48,627,53,3727,489,13,0.24,1590,29424,36
